Country,Region,Population,Area_In_Sq_mi,Population_Density_Sq_Mi,Net_Migration,Infant_Mortality_per_1000_Births,GDP_Per_Capita,Literacy_Percent,Phones_per_1000,Arable_Percent,Birthrate,Deathrate,Agriculture,Industry,Service
Netherlands,WESTERN EUROPE                     ,16491461,41526,397.1,2.91,5.04,28600,99,460.8,26.71,10.9,8.68,0.021,0.244,0.736
Netherlands Antilles,LATIN AMER. & CARIB    ,221736,960,231,-0.41,10.03,11400,96.7,365.3,10,14.78,6.45,0.01,0.15,0.84
New Caledonia,OCEANIA                            ,219246,19060,11.5,0,7.72,15000,91,252.2,0.38,18.11,5.69,0.15,0.088,0.762
New Zealand,OCEANIA                            ,4076140,268680,15.2,4.05,5.85,21600,99,441.7,5.6,13.76,7.53,0.043,0.273,0.684
Nicaragua,LATIN AMER. & CARIB    ,5570129,129494,43,-1.22,29.11,2300,67.5,39.7,15.94,24.51,4.45,0.165,0.275,0.56
Niger,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,-0.67,121.69,800,17.6,1.9,3.54,50.73,20.91,0.39,0.17,0.44
Nigeria,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,0.26,98.8,900,68,9.3,31.29,40.43,16.94,0.269,0.487,0.244
N. Mariana Islands,OCEANIA                            ,82459,477,172.9,9.61,7.11,12500,97,254.7,13.04,19.43,2.29,,,
Norway,WESTERN EUROPE                     ,4610820,323802,14.2,1.74,3.7,37800,100,461.7,2.87,11.46,9.4,0.021,0.415,0.564
Oman,NEAR EAST                          ,3102229,212460,14.6,0.28,19.51,13100,75.8,85.5,0,36.24,3.81,0.027,0.39,0.583
Pakistan,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,-2.77,72.44,2100,45.7,31.8,27.87,29.74,8.23,0.216,0.251,0.533
Palau,OCEANIA                            ,20579,458,44.9,2.85,14.84,9000,92,325.6,8.7,18.03,6.8,0.062,0.12,0.818
Panama,LATIN AMER. & CARIB    ,3191319,78200,40.8,-0.91,20.47,6300,92.6,137.9,7.36,21.74,5.36,0.068,0.156,0.776
Papua New Guinea,OCEANIA                            ,5670544,462840,12.3,0,51.45,2200,64.6,10.9,0.46,29.36,7.25,0.353,0.381,0.266
Paraguay,LATIN AMER. & CARIB    ,6506464,406750,16,-0.08,25.63,4700,94,49.2,7.6,29.1,4.49,0.224,0.207,0.569
Peru,LATIN AMER. & CARIB    ,28302603,1285220,22,-1.05,31.94,5100,90.9,79.5,2.89,20.48,6.23,0.08,0.27,0.65
Philippines,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,-1.5,23.51,4600,92.6,38.4,18.95,24.89,5.41,0.144,0.326,0.53
